yr-m,ff,fftarget,bond,inf,infexcl,caputil,capgap,ip,ipgap,unr,unrgap
1971-1,4.14,4.25,6.24,5.291005291,6.313131313,79.558,-1.3547,46.793,-0.030585,5.9,-0.35889
1971-2,3.72,3.5,6.11,5,5.778894472,79.199,-1.7137,46.704,-0.035927,5.9,-0.35889
1971-3,3.71,3.5,5.7,4.712041885,5.236907731,78.908,-2.0047,46.653,-0.040457,6,-0.25889
1971-4,4.15,3.5,5.83,4.155844156,4.962779156,79.145,-1.7677,46.915,-0.038293,5.9,-0.35889
1971-5,4.63,3.5,6.39,4.404145078,5.185185185,79.34,-1.5727,47.153,-0.036667,5.9,-0.35889
1971-6,4.91,3.5,6.52,4.639175258,4.901960784,79.467,-1.4457,47.351,-0.035909,5.9,-0.35889
1971-7,5.31,5,6.73,4.358974359,4.88997555,79.032,-1.8807,47.214,-0.042233,6,-0.25889
1971-8,5.56,5,6.58,4.615384615,4.634146341,78.371,-2.5417,46.94,-0.051474,6.1,-0.15889
1971-9,5.55,5,6.14,4.081632653,4.358353511,79.44,-1.4727,47.703,-0.038761,6,-0.25889
1971-10,5.2,5,5.93,3.807106599,3.846153846,79.829,-1.0837,48.06,-0.034706,5.8,-0.45889
1971-11,4.91,4.75,5.81,3.282828283,3.341288783,79.963,-0.94969,48.264,-0.033856,6,-0.25889
1971-12,4.14,4,5.93,3.266331658,3.087885986,80.68,-0.23269,48.821,-0.025749,6,-0.25889
1972-1,3.5,4,5.95,3.266331658,3.087885986,82.382,1.4693,49.981,-0.0056126,5.8,-0.45889
1972-2,3.29,4,6.08,3.50877193,3.325415677,82.918,2.0053,50.42,-0.00018851,5.7,-0.55889
1972-3,3.83,5.5,6.07,3.5,3.317535545,83.353,2.4403,50.801,0.004048,5.8,-0.45889
1972-4,4.17,5.5,6.19,3.49127182,3.309692671,84.005,3.0923,51.316,0.010876,5.7,-0.55889
1972-5,4.27,5.5,6.13,3.225806452,3.051643192,83.812,2.8993,51.318,0.0076939,5.7,-0.55889
1972-6,4.46,5.5,6.11,2.709359606,2.803738318,83.863,2.9503,51.473,0.0075294,5.7,-0.55889
1972-7,4.55,5.5,6.11,2.948402948,2.797202797,83.71,2.7973,51.505,0.0050151,5.6,-0.65889
1972-8,4.8,5.5,6.21,2.941176471,3.263403263,84.588,3.6753,52.177,0.01489,5.6,-0.65889
1972-9,4.87,5.5,6.55,3.18627451,2.784222738,85.024,4.1113,52.583,0.019606,5.5,-0.75889
1972-10,5.04,5.5,6.48,3.422982885,3.009259259,85.91,4.9973,53.275,0.0297,5.6,-0.65889
1972-11,5.06,5.5,6.28,3.667481663,3.002309469,86.644,5.7313,53.881,0.038089,5.3,-0.95889
1972-12,5.33,5.5,6.36,3.406326034,2.995391705,87.42,6.5073,54.521,0.047037,5.2,-1.0589
1973-1,5.94,6,6.46,3.649635036,2.764976959,87.689,6.7763,54.851,0.050276,4.9,-1.3589
1973-2,6.58,6.75,6.64,3.87409201,2.75862069,88.731,7.8183,55.673,0.062422,5,-1.2589
1973-3,7.09,6.75,6.71,4.589371981,2.981651376,88.449,7.5363,55.67,0.059708,4.9,-1.3589
1973-4,7.12,7.25,6.67,5.060240964,3.203661327,87.972,7.0593,55.546,0.054888,5,-1.2589
1973-5,7.84,8.25,6.85,5.528846154,3.189066059,88.326,7.4133,55.95,0.059616,4.9,-1.3589
1973-6,8.49,9.25,6.9,5.995203837,3.181818182,88.113,7.2003,55.998,0.058025,4.9,-1.3589
1973-7,10.4,9.5,7.13,5.727923628,3.174603175,88.201,7.2883,56.237,0.059907,4.8,-1.4589
1973-8,10.5,9.5,7.4,7.380952381,3.16027088,87.783,6.8703,56.154,0.056123,4.8,-1.4589
1973-9,10.78,9.5,7.09,7.363420428,3.837471783,88.269,7.3563,56.647,0.062626,4.8,-1.4589
1973-10,10.01,9.5,6.79,7.80141844,4.269662921,88.549,7.6363,57.008,0.066808,4.6,-1.6589
1973-11,10.03,9.5,6.73,8.254716981,4.484304933,88.702,7.7893,57.287,0.069584,4.8,-1.4589
1973-12,9.95,9.5,6.74,8.705882353,4.697986577,88.204,7.2913,57.141,0.064989,4.9,-1.3589
1974-1,9.65,9.5,6.99,9.389671362,4.932735426,87.294,6.3813,56.724,0.05568,5.1,-1.1589
1974-2,8.97,9.5,6.96,10.02331002,5.369127517,86.755,5.8423,56.541,0.050519,5.2,-1.0589
1974-3,9.35,10,7.21,10.3926097,5.79064588,86.497,5.5843,56.535,0.048534,5.1,-1.1589
1974-4,10.51,11,7.51,10.09174312,6.208425721,86.149,5.2363,56.464,0.045443,5.1,-1.1589
1974-5,11.31,11,7.58,10.70615034,6.843267108,86.425,5.5123,56.796,0.049512,5.1,-1.1589
1974-6,11.93,11,7.54,10.85972851,7.929515419,86.094,5.1813,56.724,0.046484,5.4,-0.85889
1974-7,12.92,9.25,7.81,11.51241535,8.791208791,85.938,5.0253,56.76,0.045388,5.5,-0.75889
1974-8,12.01,9.25,8.04,10.86474501,9.628008753,84.948,4.0353,56.238,0.034439,5.5,-0.75889
1974-9,11.34,9.25,8.04,11.94690265,10.2173913,84.801,3.8883,56.267,0.03326,5.9,-0.35889
1974-10,10.06,9.25,7.9,12.06140351,10.56034483,84.305,3.3923,56.059,0.027869,6,-0.25889
1974-11,9.45,9.25,7.68,12.20043573,11.15879828,81.351,0.43831,54.207,-0.0074127,6.6,0.34111
1974-12,8.53,8,7.43,12.33766234,11.11111111,78.312,-2.6007,52.286,-0.045189,7.2,0.94111
1975-1,7.13,7.25,7.5,11.80257511,11.53846154,77.165,-3.7477,51.618,-0.059758,8.1,1.8411
1975-2,6.24,6.25,7.39,11.22881356,11.67728238,75.14,-5.7727,50.357,-0.086225,8.1,1.8411
1975-3,5.54,5.5,7.73,10.25104603,11.36842105,74.218,-6.6947,49.829,-0.098529,8.6,2.3411
1975-4,5.49,5.25,8.23,10.20833333,11.27348643,74.08,-6.8327,49.823,-0.10045,8.8,2.5411
1975-5,5.22,5.25,8.06,9.465020576,10.53719008,73.859,-7.0537,49.761,-0.10353,9,2.7411
1975-6,5.55,5.25,7.86,9.387755102,9.591836735,74.211,-6.7017,50.086,-0.098911,8.8,2.5411
1975-7,6.1,5.25,8.06,9.71659919,9.090909091,74.885,-6.0277,50.63,-0.090043,8.6,2.3411
1975-8,6.14,5.25,8.4,8.6,8.183632735,75.461,-5.4517,51.111,-0.082574,8.4,2.1411
1975-9,6.24,5.25,8.43,7.90513834,7.692307692,76.303,-4.6097,51.776,-0.071686,8.4,2.1411
1975-10,5.82,5.25,8.14,7.436399217,7.01754386,76.428,-4.4847,51.958,-0.070271,8.4,2.1411
1975-11,5.22,5.25,8.05,7.378640777,6.756756757,76.477,-4.4357,52.092,-0.069843,8.3,2.0411
1975-12,5.2,5.25,8,6.936416185,6.730769231,77.296,-3.6167,52.753,-0.059437,8.2,1.9411
1976-1,4.87,4.75,7.74,6.717850288,6.704980843,78.248,-2.6647,53.509,-0.047464,7.9,1.6411
1976-2,4.77,4.75,7.79,6.285714286,6.463878327,78.778,-2.1347,53.981,-0.040991,7.7,1.4411
1976-3,4.84,4.75,7.73,6.072106262,6.616257089,78.647,-2.2657,54.003,-0.042944,7.6,1.3411
1976-4,4.82,4.75,7.56,6.049149338,6.378986867,79.059,-1.8537,54.398,-0.038065,7.7,1.4411
1976-5,5.29,4.75,7.9,6.203007519,6.542056075,79.177,-1.7357,54.594,-0.036923,7.4,1.1411
1976-6,5.48,4.75,7.86,5.970149254,6.517690875,78.973,-1.9397,54.57,-0.039862,7.6,1.3411
1976-7,5.31,4.75,7.83,5.350553506,6.666666667,79.279,-1.6337,54.899,-0.03639,7.8,1.5411
1976-8,5.29,4.75,7.77,5.709023941,6.826568266,79.689,-1.2237,55.301,-0.03167,7.8,1.5411
1976-9,5.25,4.75,7.59,5.494505495,6.776556777,79.697,-1.2157,55.425,-0.03204,7.6,1.3411
1976-10,5.02,4.75,7.41,5.464480874,6.739526412,79.631,-1.2817,55.5,-0.033327,7.7,1.4411
1976-11,4.95,4.75,7.29,4.882459313,6.50994575,80.653,-0.25969,56.338,-0.021004,7.8,1.5411
1976-12,4.65,4.75,6.87,4.864864865,6.126126126,81.314,0.40131,56.928,-0.013271,7.8,1.5411
1977-1,4.61,4.75,7.21,5.215827338,6.283662478,80.673,-0.23969,56.606,-0.021643,7.5,1.2411
1977-2,4.68,4.75,7.39,5.913978495,6.25,81.685,0.77231,57.449,-0.0095712,7.6,1.3411
1977-3,4.69,4.75,7.46,6.440071556,6.205673759,82.474,1.5613,58.143,-0.00027973,7.4,1.1411
1977-4,4.73,4.75,7.37,6.951871658,6.349206349,83.043,2.1303,58.686,0.006299,7.2,0.94111
1977-5,5.35,4.75,7.46,6.725663717,6.315789474,83.462,2.5493,59.13,0.011124,7,0.74111
1977-6,5.39,4.75,7.28,6.866197183,6.643356643,83.825,2.9123,59.541,0.015348,7.2,0.94111
1977-7,5.42,4.75,7.33,6.830122592,6.25,83.836,2.9233,59.707,0.015444,6.9,0.64111
1977-8,5.9,6,7.4,6.620209059,6.21761658,83.708,2.7953,59.777,0.013947,7,0.74111
1977-9,6.14,6.25,7.34,6.597222222,6.174957118,83.89,2.9773,60.073,0.016243,6.8,0.54111
1977-10,6.47,6.25,7.52,6.390328152,5.972696246,83.945,3.0323,60.281,0.017084,6.8,0.54111
1977-11,6.51,6.25,7.58,6.724137931,5.942275042,83.751,2.8383,60.313,0.015033,6.8,0.54111
1977-12,6.56,6.25,7.69,6.701030928,6.451612903,83.601,2.6883,60.376,0.013533,6.4,0.14111
1978-1,6.7,6.75,7.96,6.837606838,6.418918919,82.201,1.2883,59.532,-0.0030464,6.4,0.14111
1978-2,6.78,6.75,8.03,6.429780034,6.218487395,82.363,1.4503,59.817,-0.00072641,6.3,0.041106
1978-3,6.79,6.75,8.04,6.554621849,6.343906511,83.685,2.7723,60.947,0.015583,6.3,0.041106
1978-4,6.89,7.25,8.15,6.5,6.467661692,85.066,4.1533,62.124,0.032359,6.1,-0.15889
1978-5,7.36,7.5,8.35,6.965174129,6.765676568,85.151,4.2383,62.355,0.033777,6,-0.25889
1978-6,7.6,7.75,8.46,7.413509061,7.049180328,85.478,4.5653,62.763,0.038067,5.9,-0.35889
1978-7,7.81,7.75,8.64,7.704918033,7.352941176,85.248,4.3353,62.76,0.035853,6.2,-0.058894
1978-8,8.04,8.25,8.41,7.843137255,7.479674797,85.329,4.4163,62.983,0.037302,5.9,-0.35889
1978-9,8.45,8.75,8.42,8.306188925,7.915993538,85.344,4.4313,63.155,0.038003,6,-0.25889
1978-10,8.96,9,8.64,8.928571429,8.373590982,85.85,4.9373,63.69,0.044486,5.8,-0.45889
1978-11,9.76,9,8.81,8.885298869,8.653846154,86.285,5.3723,64.171,0.050132,5.9,-0.35889
1978-12,10.03,10,9.01,9.017713366,8.452950558,86.617,5.7043,64.575,0.054608,6,-0.25889
1979-1,10.07,10,9.1,9.28,8.571428571,85.791,4.8783,64.11,0.04566,5.9,-0.35889
1979-2,10.06,10,9.1,9.856915739,9.17721519,86.098,5.1853,64.491,0.049943,5.9,-0.35889
1979-3,10.09,10,9.12,10.09463722,9.262166405,86.162,5.2493,64.687,0.051416,5.8,-0.45889
1979-4,10.01,10.25,9.18,10.48513302,9.345794393,85.111,4.1983,64.043,0.039929,5.8,-0.45889
1979-5,10.24,10.25,9.25,10.85271318,9.42812983,85.521,4.6083,64.494,0.045543,5.6,-0.65889
1979-6,10.29,10.25,8.91,10.88957055,9.341500766,85.329,4.4163,64.49,0.044157,5.7,-0.55889
1979-7,10.47,10.5,8.95,11.26331811,9.589041096,84.998,4.0853,64.377,0.041157,5.7,-0.55889
1979-8,10.94,11,9.03,11.81818182,9.984871407,84.226,3.3133,63.925,0.03294,6,-0.25889
1979-9,11.43,11.5,9.33,12.18045113,9.880239521,84.16,3.2473,64.004,0.033078,5.9,-0.35889
1979-10,13.77,13,10.3,12.07153502,10.10401189,84.427,3.5143,64.335,0.037211,6,-0.25889
1979-11,13.18,13,10.65,12.61127596,10.61946903,84.178,3.2653,64.271,0.035259,5.9,-0.35889
1979-12,13.78,13,10.39,13.29394387,11.32352941,84.143,3.2303,64.368,0.035877,6,-0.25889
1980-1,13.82,13.5,10.8,13.90922401,11.98830409,84.328,3.4153,64.63,0.039112,6.3,0.041106
1980-2,14.13,13.5,12.41,14.18234443,12.02898551,84.207,3.2943,64.658,0.038777,6.3,0.041106
1980-3,17.19,16.5,12.75,14.75644699,12.5,83.751,2.8383,64.428,0.034501,6.3,0.041106
1980-4,17.61,16,11.47,14.73087819,12.96296296,81.95,1.0373,63.158,0.013932,6.9,0.64111
1980-5,10.98,11.25,10.18,14.40559441,13.27683616,79.742,-1.1707,61.57,-0.012146,7.5,1.2411
1980-6,9.47,11.25,9.78,14.38450899,13.58543417,78.581,-2.3317,60.787,-0.025516,7.6,1.3411
1980-7,9.03,11.25,10.25,13.13269494,12.36111111,77.927,-2.9857,60.394,-0.032535,7.8,1.5411
1980-8,9.61,11,11.1,12.87262873,11.82943604,78.032,-2.8807,60.59,-0.029794,7.7,1.4411
1980-9,10.87,11,11.51,12.60053619,11.98910082,79.158,-1.7547,61.582,-0.014023,7.5,1.2411
1980-10,12.81,12,11.75,12.76595745,12.28070175,79.953,-0.95969,62.323,-0.0025048,7.5,1.2411
1980-11,15.85,15,12.68,12.64822134,12.13333333,81.139,0.22631,63.375,0.013814,7.5,1.2411
1980-12,18.9,17.5,12.84,12.51629726,12.15323646,81.449,0.53631,63.747,0.019265,7.2,0.94111
1981-1,19.08,17.5,12.57,11.8251928,11.35770235,80.835,-0.077687,63.397,0.013374,7.5,1.2411
1981-2,15.93,17.5,13.19,11.40684411,10.86675291,80.264,-0.64869,63.086,0.0080818,7.4,1.1411
1981-3,14.7,15.5,13.12,10.48689139,9.961685824,80.496,-0.41669,63.409,0.012822,7.4,1.1411
1981-4,15.72,15.5,13.68,10,9.457755359,79.962,-0.95069,63.128,0.0080172,7.2,0.94111
1981-5,18.52,19,14.1,9.7799511,9.476309227,80.327,-0.58569,63.561,0.014489,7.5,1.2411
1981-6,19.1,19,13.47,9.552599758,9.371146732,80.53,-0.38269,63.869,0.018954,7.5,1.2411
1981-7,19.04,18,14.28,10.7617896,11.12484549,80.894,-0.018687,64.309,0.025442,7.2,0.94111
1981-8,17.82,18,14.94,10.80432173,11.56211562,80.706,-0.20669,64.313,0.025112,7.4,1.1411
1981-9,15.87,18,15.32,10.95238095,11.80048662,79.981,-0.93169,63.89,0.018103,7.6,1.3411
1981-10,15.08,14.5,15.15,10.14150943,10.9375,79.207,-1.7057,63.424,0.010349,7.9,1.6411
1981-11,13.31,13,13.39,9.590643275,10.22592152,78.172,-2.7407,62.748,-0.00082837,8.3,2.0411
1981-12,12.37,12,13.72,8.922363847,9.540636042,77.152,-3.7607,62.078,-0.012059,8.5,2.2411
1982-1,13.22,12,14.59,8.390804598,9.261430246,75.519,-5.3937,60.908,-0.031621,8.6,2.3411
1982-2,14.78,14,14.43,7.622298066,9.101516919,76.786,-4.1267,62.076,-0.013204,8.9,2.6411
1982-3,14.68,14,13.86,6.779661017,8.826945412,76.036,-4.8767,61.611,-0.02135,9,2.7411
1982-4,14.94,14,13.87,6.509539843,8.870967742,75.242,-5.6707,61.103,-0.03031,9.3,3.0411
1982-5,14.45,12.5,13.62,6.681514477,8.656036446,74.573,-6.3397,60.689,-0.037847,9.4,3.1411
1982-6,14.15,12.5,14.3,7.06401766,8.568207441,74.13,-6.7827,60.45,-0.042594,9.6,3.3411
1982-7,12.59,12.5,13.95,6.441048035,7.563959956,73.719,-7.1937,60.228,-0.047139,9.8,3.5411
1982-8,10.12,9,13.06,5.850487541,7.056229327,72.993,-7.9197,59.738,-0.056245,9.8,3.5411
1982-9,10.31,9,12.34,5.042918455,5.875952122,72.557,-8.3557,59.473,-0.0617,10.1,3.8411
1982-10,9.71,8.75,10.91,5.139186296,5.850487541,71.851,-9.0617,58.976,-0.071176,10.4,4.1411
1982-11,9.2,8,10.55,4.589114194,5.285868393,71.467,-9.4457,58.733,-0.076467,10.8,4.5411
1982-12,8.95,8,10.54,3.829787234,4.516129032,70.789,-10.124,58.238,-0.086171,10.8,4.5411
1983-1,8.68,8,10.46,3.711558855,4.721030043,72.096,-8.8167,59.367,-0.068292,10.4,4.1411
1983-2,8.51,8,10.72,3.488372093,4.705882353,71.575,-9.3377,58.985,-0.076148,10.4,4.1411
1983-3,8.77,8,10.51,3.597883598,4.69583778,72.144,-8.7687,59.495,-0.069019,10.3,4.0411
1983-4,8.8,8,10.4,3.898840885,4.338624339,72.983,-7.9297,60.222,-0.058431,10.2,3.9411
1983-5,8.63,8,10.38,3.549060543,3.5639413,73.483,-7.4297,60.667,-0.052704,10.1,3.8411
1983-6,8.98,8,10.85,2.577319588,2.907580478,73.852,-7.0607,61.003,-0.048889,10.1,3.8411
1983-7,9.37,8,11.38,2.461538462,2.998965874,74.985,-5.9277,61.97,-0.034942,9.4,3.1411
1983-8,9.56,8,11.85,2.558853634,2.98661174,75.775,-5.1377,62.658,-0.025749,9.5,3.2411
1983-9,9.45,8,11.65,2.860061287,3.494347379,76.915,-3.9977,63.641,-0.012096,9.2,2.9411
1983-10,9.48,8,11.54,2.851323829,3.684749232,77.498,-3.4147,64.17,-0.0057916,8.8,2.5411
1983-11,9.34,8,11.69,3.265306122,4.303278689,77.651,-3.2617,64.349,-0.0050371,8.5,2.2411
1983-12,9.47,8,11.83,3.790983607,4.835390947,77.955,-2.9577,64.662,-0.0022693,8.3,2.0411
1984-1,9.56,8,11.67,4.192229039,4.81557377,79.508,-1.4047,66.012,0.01626,8,1.7411
1984-2,9.59,8,11.84,4.596527068,4.80081716,79.775,-1.1377,66.308,0.018554,7.8,1.5411
1984-3,9.91,10.25,12.32,4.80081716,4.99490316,80.053,-0.85969,66.622,0.021057,7.8,1.5411
1984-4,10.29,10.5,12.63,4.563894523,4.969574037,80.418,-0.49469,67.018,0.024725,7.7,1.4411
1984-5,10.32,10.5,13.41,4.233870968,5.16194332,80.69,-0.22269,67.344,0.027283,7.4,1.1411
1984-6,11.06,11,13.56,4.221105528,5.146316852,80.853,-0.059688,67.59,0.028604,7.2,0.94111
1984-7,11.23,11.25,13.36,4.204204204,5.020080321,80.961,0.048312,67.798,0.029323,7.5,1.2411
1984-8,11.64,11.4375,12.72,4.291417166,5.1,80.881,-0.031688,67.855,0.027784,7.5,1.2411
1984-9,11.3,11,12.52,4.270109235,5.064548163,80.599,-0.31369,67.747,0.023788,7.3,1.0411
1984-10,9.99,10,12.16,4.257425743,4.935834156,80.357,-0.55569,67.678,0.020345,7.4,1.1411
1984-11,9.43,9,11.57,4.051383399,4.616895874,80.523,-0.38969,67.957,0.022016,7.2,0.94111
1984-12,8.38,8.125,11.5,3.948667325,4.710500491,80.443,-0.46969,68.033,0.020674,7.3,1.0411
1985-1,8.35,8.25,11.38,3.532875368,4.49657869,80.045,-0.86769,67.843,0.015402,7.3,1.0411
1985-2,8.5,8.5,11.51,3.515625,4.678362573,80.22,-0.69269,68.141,0.017295,7.2,0.94111
1985-3,8.58,8.5,11.86,3.703703704,4.757281553,80.153,-0.75969,68.235,0.016172,7.2,0.94111
1985-4,8.27,8.25,11.43,3.685741998,4.541062802,79.852,-1.0607,68.129,0.012103,7.3,1.0411
1985-5,7.97,7.75,10.85,3.771760155,4.523580366,79.722,-1.1907,68.167,0.010137,7.2,0.94111
1985-6,7.53,7.75,10.16,3.760848602,4.414587332,79.578,-1.3347,68.19,0.0079409,7.4,1.1411
1985-7,7.88,7.75,10.31,3.554274736,4.206500956,78.891,-2.0217,67.742,-0.0011926,7.4,1.1411
1985-8,7.9,7.875,10.33,3.349282297,4.091341579,79.098,-1.8147,68.057,0.00089695,7.1,0.84111
1985-9,7.92,8,10.37,3.142857143,3.969754253,79.289,-1.6237,68.353,0.0026801,7.1,0.84111
1985-10,7.99,8,10.24,3.228869896,4.139228598,78.857,-2.0557,68.105,-0.0035175,7.1,0.84111
1985-11,8.05,8,9.78,3.51377018,4.41314554,78.987,-1.9257,68.336,-0.0026997,7,0.74111
1985-12,8.27,7.75,9.26,3.798670465,4.311152765,79.679,-1.2337,69.046,0.0050637,7,0.74111
1986-1,8.14,7.75,9.19,3.886255924,4.396632367,79.987,-0.92569,69.419,0.0078748,6.7,0.44111
1986-2,7.86,7.75,8.7,3.113207547,4.189944134,79.227,-1.6857,68.857,-0.0028335,7.2,0.94111
1986-3,7.48,7.25,7.78,2.255639098,4.077849861,78.636,-2.2767,68.435,-0.011563,7.2,0.94111
1986-4,6.99,6.75,7.3,1.590271282,4.15896488,78.531,-2.3817,68.431,-0.014205,7.1,0.84111
1986-5,6.85,6.8125,7.71,1.491146319,3.959484346,78.589,-2.3237,68.567,-0.014803,7.2,0.94111
1986-6,6.92,6.875,7.8,1.765799257,3.952205882,78.243,-2.6697,68.348,-0.020586,7.2,0.94111
1986-7,6.56,6.375,7.3,1.576994434,4.128440367,78.611,-2.3017,68.754,-0.017246,7,0.74111
1986-8,6.17,5.875,7.17,1.574074074,4.021937843,78.383,-2.5297,68.641,-0.02147,6.9,0.64111
1986-9,5.89,5.875,7.45,1.754385965,4.090909091,78.427,-2.4857,68.769,-0.022183,7,0.74111
1986-10,5.85,5.875,7.43,1.471941122,3.974706414,78.668,-2.2447,69.074,-0.020327,7,0.74111
1986-11,6.04,5.875,7.25,1.28440367,3.776978417,78.931,-1.9817,69.405,-0.018109,6.9,0.64111
1986-12,6.91,6,7.11,1.0978957,3.773584906,79.496,-1.4167,70.007,-0.012026,6.6,0.34111
1987-1,6.43,6,7.08,1.459854015,3.76344086,79.132,-1.7807,69.795,-0.0176,6.6,0.34111
1987-2,6.1,6,7.25,2.104300091,3.753351206,80.023,-0.88969,70.697,-0.0072866,6.6,0.34111
1987-3,6.13,6,7.25,3.033088235,4.007123776,79.989,-0.92369,70.786,-0.0085397,6.6,0.34111
1987-4,6.37,6.5,8.02,3.775322284,4.170363798,80.317,-0.59569,71.198,-0.0052287,6.3,0.041106
1987-5,6.85,6.75,8.61,3.856749311,4.162976085,80.713,-0.19969,71.672,-0.0010646,6.3,0.041106
1987-6,6.73,6.75,8.4,3.652968037,4.067197171,80.961,0.048312,72.016,0.0012761,6.2,-0.058894
1987-7,6.58,6.625,8.45,3.926940639,3.964757709,81.328,0.41531,72.463,0.0050428,6.1,-0.15889
1987-8,6.73,6.75,8.76,4.284412033,4.217926186,81.772,0.85931,72.972,0.0096504,6,-0.25889
1987-9,7.22,7.3125,9.42,4.355716878,4.279475983,81.834,0.92131,73.134,0.0095074,5.9,-0.35889
1987-10,7.29,7,9.52,4.533091568,4.344048653,82.919,2.0063,74.203,0.021692,6,-0.25889
1987-11,6.69,6.8125,8.86,4.528985507,4.419410745,83.257,2.3443,74.596,0.024684,5.8,-0.45889
1987-12,6.77,6.8125,8.99,4.43438914,4.242424242,83.541,2.6283,74.932,0.026926,5.7,-0.55889
1988-1,6.83,6.625,8.67,4.04676259,4.317789292,83.485,2.5723,74.956,0.025035,5.7,-0.55889
1988-2,6.58,6.5,8.21,3.94265233,4.306632214,83.713,2.8003,75.226,0.026462,5.7,-0.55889
1988-3,6.58,6.75,8.37,3.925066905,4.366438356,83.871,2.9583,75.427,0.027005,5.7,-0.55889
1988-4,6.87,6.75,8.72,3.904170364,4.258943782,84.218,3.3053,75.792,0.029751,5.4,-0.85889
