date,kfx
"1993-4",84.219999999999999
"1993-5",84.150000000000006
"1993-6",84.090000000000003
"1993-7",83.879999999999995
"1993-8",82.170000000000002
"1993-9",83.019999999999996
"1993-10",81.859999999999999
"1993-11",80.829999999999998
"1993-12",78.879999999999995
"1993-13",81.230000000000004
"1993-14",81.489999999999995
"1993-15",84
"1993-16",83.549999999999997
"1993-17",83.680000000000007
"1993-18",87.849999999999994
"1993-19",88.069999999999993
"1993-20",87.140000000000001
"1993-21",85
"1993-22",83.680000000000007
"1993-23",85.459999999999994
"1993-24",87.950000000000003
"1993-25",89.189999999999998
"1993-26",90.659999999999997
"1993-27",89.909999999999997
"1993-28",90.620000000000005
"1993-29",89.640000000000001
"1993-30",91.870000000000005
"1993-31",94.459999999999994
"1993-32",96.430000000000007
"1993-33",99.989999999999995
"1993-34",97.950000000000003
"1993-35",98.659999999999997
"1993-36",98.219999999999999
"1993-37",97.359999999999999
"1993-38",96.150000000000006
"1993-39",97.340000000000003
"1993-40",98.849999999999994
"1993-41",99.870000000000005
"1993-42",103.53
"1993-43",103.65000000000001
"1993-44",102.92
"1993-45",103.17
"1993-46",102.40000000000001
"1993-47",100.09999999999999
"1993-48",100.87
"1993-49",102.75
"1993-50",100.08
"1993-51",103.73999999999999
"1993-52",106.8
"1994-1",109.06
"1994-2",113.03
"1994-3",113.56999999999999
"1994-4",114.84
"1994-5",116.31
"1994-6",114.13
"1994-7",115.84999999999999
"1994-8",113.06999999999999
"1994-9",111.08
"1994-10",111.61
"1994-11",110.7
"1994-12",107.94
"1994-13",109.58
"1994-14",107.63
"1994-15",104.59999999999999
"1994-16",106.67
"1994-17",109.86
"1994-18",105.26000000000001
"1994-19",104.56999999999999
"1994-20",103.7
"1994-21",101.45999999999999
"1994-22",100.3
"1994-23",104.67
"1994-24",102.52
"1994-25",101.11
"1994-26",102.39
"1994-27",101
"1994-28",104.45
"1994-29",108.33
"1994-30",107.2
"1994-31",106.47
"1994-32",100.79000000000001
"1994-33",100.27
"1994-34",98.459999999999994
"1994-35",97.909999999999997
"1994-36",96.780000000000001
"1994-37",97.099999999999994
"1994-38",96.159999999999997
"1994-39",95.269999999999996
"1994-40",91.569999999999993
"1994-41",94.760000000000005
"1994-42",95.510000000000005
"1994-43",93.530000000000001
"1994-44",93.189999999999998
"1994-45",93.280000000000001
"1994-46",96.120000000000005
"1994-47",95.209999999999994
"1994-48",94.159999999999997
"1994-49",92.579999999999998
"1994-50",91.540000000000006
"1994-51",94.700000000000003
"1994-52",95.640000000000001
"1995-1",96.409999999999997
"1995-2",94.859999999999999
"1995-3",93.290000000000006
"1995-4",93.920000000000002
"1995-5",95.739999999999995
"1995-6",96.209999999999994
"1995-7",95.079999999999998
"1995-8",95.170000000000002
"1995-9",94.959999999999994
"1995-10",91.310000000000002
"1995-11",92.680000000000007
"1995-12",91.299999999999997
"1995-13",89.510000000000005
"1995-14",89.810000000000002
"1995-15",91.25
"1995-16",92.489999999999995
"1995-17",94.079999999999998
"1995-18",95.709999999999994
"1995-19",97.930000000000007
"1995-20",99.129999999999995
"1995-21",99.719999999999999
"1995-22",99.049999999999997
"1995-23",97.900000000000006
"1995-24",97.010000000000005
"1995-25",96.569999999999993
"1995-26",95.840000000000003
"1995-27",97.239999999999995
"1995-28",98.659999999999997
"1995-29",98.780000000000001
"1995-30",102.2
"1995-31",102.70999999999999
"1995-32",102.67
"1995-33",103.31
"1995-34",104.72
"1995-35",102.48999999999999
"1995-36",104.45999999999999
"1995-37",105.34
"1995-38",101.31
"1995-39",101.27
"1995-40",100.83
"1995-41",102.26000000000001
"1995-42",101.05
"1995-43",99.680000000000007
"1995-44",101.27
"1995-45",101.09999999999999
"1995-46",101.14
"1995-47",101.47
"1995-48",104.59999999999999
"1995-49",105.55
"1995-50",105.67
"1995-51",104.64
"1995-52",106.14
"1996-1",107.95
"1996-2",110.01000000000001
"1996-3",112.25
"1996-4",112.7
"1996-5",112.44
"1996-6",112.77
"1996-7",111.45999999999999
"1996-8",111.70999999999999
"1996-9",113.22
"1996-10",110.64
"1996-11",109.81
"1996-12",109.02
"1996-13",110.56
"1996-14",111.33
"1996-15",112.11
"1996-16",113.14
"1996-17",113.64
"1996-18",114.53
"1996-19",114
"1996-20",113.64
"1996-21",115.31999999999999
"1996-22",113.97
"1996-23",114.05
"1996-24",114.66
"1996-25",115.81
"1996-26",116.34999999999999
"1996-27",117.2
"1996-28",116.95
"1996-29",116.14
"1996-30",114.64
"1996-31",116.63
"1996-32",117.81999999999999
"1996-33",119.61
"1996-34",119.8
"1996-35",119.51000000000001
"1996-36",119.51000000000001
"1996-37",119.83
"1996-38",121.55
"1996-39",122.34999999999999
"1996-40",122.73
"1996-41",125.01000000000001
"1996-42",127.25
"1996-43",128.63999999999999
"1996-44",126.76000000000001
"1996-45",125.23
"1996-46",127.45999999999999
"1996-47",128.81
"1996-48",129.03999999999999
"1996-49",130.90000000000001
"1996-50",129.36000000000001
"1996-51",129.34999999999999
"1996-52",132.15000000000001
"1997-1",134.03
"1997-2",136.59999999999999
"1997-3",139.69
"1997-4",144.78
"1997-5",143.50999999999999
"1997-6",147.88
"1997-7",152.90000000000001
"1997-8",155.66999999999999
"1997-9",157.88999999999999
"1997-10",152.97
"1997-11",158.13999999999999
"1997-12",159.91999999999999
"1997-13",153.99000000000001
"1997-14",154.58000000000001
"1997-15",149.02000000000001
"1997-16",154.08000000000001
"1997-17",153.46000000000001
"1997-18",156.69999999999999
"1997-19",156.84999999999999
"1997-20",159.59999999999999
"1997-21",167.91999999999999
"1997-22",166.36000000000001
"1997-23",163.77000000000001
"1997-24",168.13999999999999
"1997-25",171.22999999999999
"1997-26",173.03999999999999
"1997-27",170.81999999999999
"1997-28",177.75999999999999
"1997-29",185.34
"1997-30",192.12
"1997-31",189.28999999999999
"1997-32",189.28
"1997-33",185.72999999999999
"1997-34",181.99000000000001
"1997-35",183.47
"1997-36",176.94999999999999
"1997-37",177.41
"1997-38",175.97
"1997-39",179.13
"1997-40",189.12
"1997-41",195.91999999999999
"1997-42",188.59
"1997-43",190.94999999999999
"1997-44",191.11000000000001
"1997-45",182.62
"1997-46",181.22999999999999
"1997-47",182.87
"1997-48",191.63
"1997-49",191.84999999999999
"1997-50",200.91999999999999
"1997-51",202.22
"1997-52",199.5
"1998-1",204.72999999999999
"1998-2",214.18000000000001
"1998-3",214.97999999999999
"1998-4",219.16
"1998-5",216.31999999999999
"1998-6",215.81
"1998-7",217.28999999999999
"1998-8",216.80000000000001
"1998-9",217.66
"1998-10",216.49000000000001
"1998-11",218.02000000000001
"1998-12",228.72
"1998-13",235.81999999999999
"1998-14",243.31
"1998-15",245.55000000000001
"1998-16",244.81
"1998-17",243.06999999999999
"1998-18",234.27000000000001
"1998-19",236.16
"1998-20",235.81
"1998-21",228.33000000000001
"1998-22",234.38999999999999
"1998-23",233.93000000000001
"1998-24",231.18000000000001
"1998-25",239.05000000000001
"1998-26",235.87
"1998-27",235.21000000000001
"1998-28",239.66
"1998-29",244.62
"1998-30",251.93000000000001
"1998-31",244.69
"1998-32",237.86000000000001
"1998-33",226.72999999999999
"1998-34",220.53999999999999
"1998-35",218.06999999999999
"1998-36",215.25999999999999
"1998-37",213.02000000000001
"1998-38",209.12
"1998-39",195.66
"1998-40",196.47999999999999
"1998-41",190.03999999999999
"1998-42",182.55000000000001
"1998-43",192.06999999999999
"1998-44",197.27000000000001
"1998-45",203.86000000000001
"1998-46",207.06999999999999
"1998-47",207
"1998-48",203.03999999999999
"1998-49",206.94999999999999
"1998-50",199.91
"1998-51",202.00999999999999
"1998-52",209.40000000000001
"1999-1",220.06999999999999
"1999-2",219.34
"1999-3",222.49000000000001
"1999-4",218.99000000000001
"1999-5",216.69
"1999-6",218.90000000000001
"1999-7",215.16999999999999
"1999-8",209.33000000000001
"1999-9",209.31
"1999-10",208.18000000000001
"1999-11",201.59999999999999
"1999-12",192.53999999999999
"1999-13",195.31
"1999-14",198.27000000000001
"1999-15",198.56
"1999-16",209.93000000000001
"1999-17",201.91
"1999-18",198.78999999999999
"1999-19",208.50999999999999
"1999-20",207.44999999999999
"1999-21",200.56999999999999
"1999-22",203.02000000000001
"1999-23",202.30000000000001
"1999-24",205.52000000000001
"1999-25",205.19999999999999
"1999-26",203.78
"1999-27",202.88999999999999
"1999-28",208.94999999999999
"1999-29",215.00999999999999
"1999-30",217.83000000000001
"1999-31",210.16
"1999-32",211.22
"1999-33",202.25
"1999-34",206.22
"1999-35",211.68000000000001
"1999-36",217.38
"1999-37",216.25999999999999
"1999-38",219.97999999999999
"1999-39",218.86000000000001
"1999-40",216.88999999999999
"1999-41",216.28
"1999-42",219.77000000000001
"1999-43",217.31
"1999-44",219.84
"1999-45",222.91
"1999-46",231.74000000000001
"1999-47",235.16
"1999-48",246.66
"1999-49",244.49000000000001
"1999-50",247.87
"1999-51",257.33999999999997
"1999-52",249.53999999999999
"2000-1",251.03
"2000-2",255.69
"2000-3",251.78999999999999
"2000-4",256.24000000000001
"2000-5",257.20999999999998
"2000-6",256.97000000000003
"2000-7",264.16000000000003
"2000-8",267.98000000000002
"2000-9",279.13999999999999
"2000-10",276.26999999999998
"2000-11",287.11000000000001
"2000-12",299.26999999999998
"2000-13",298.76999999999998
"2000-14",297.61000000000001
"2000-15",291.94999999999999
"2000-16",284.36000000000001
"2000-17",267.31
"2000-18",272.63999999999999
"2000-19",284.14999999999998
"2000-20",288.82999999999998
"2000-21",283.5
"2000-22",284.87
"2000-23",288.94999999999999
"2000-24",290.76999999999998
"2000-25",295.63999999999999
"2000-26",294.19999999999999
"2000-27",291.66000000000003
"2000-28",287.52999999999997
"2000-29",287.52999999999997
"2000-30",301.89999999999998
"2000-31",306.30000000000001
"2000-32",308
"2000-33",300.29000000000002
"2000-34",311.51999999999998
"2000-35",320.70999999999998
"2000-36",319.27999999999997
"2000-37",329.63999999999999
"2000-38",333.69
"2000-39",335.81
"2000-40",331.68000000000001
"2000-41",327.43000000000001
"2000-42",334.88
"2000-43",353.81999999999999
"2000-44",336.74000000000001
"2000-45",346.93000000000001
"2000-46",348.80000000000001
"2000-47",340.05000000000001
"2000-48",333.76999999999998
"2000-49",329.93000000000001
"2000-50",317.17000000000002
"2000-51",320.63
"2000-52",315.89999999999998
"2001-1",323.88
"2001-2",305.66000000000003
"2001-3",313.89999999999998
"2001-4",322.67000000000002
"2001-5",324.56999999999999
"2001-6",336.19
"2001-7",344.17000000000002
"2001-8",334.97000000000003
"2001-9",332.31
"2001-10",335.75
"2001-11",319.31999999999999
"2001-12",310.43000000000001
"2001-13",313.25999999999999
"2001-14",292.93000000000001
"2001-15",288.66000000000003
"2001-16",294.47000000000003
"2001-17",284.51999999999998
"2001-18",290.94
"2001-19",294.52999999999997
"2001-20",294.02999999999997
"2001-21",295.39999999999998
"2001-22",303.41000000000003
"2001-23",309.70999999999998
"2001-24",316.73000000000002
"2001-25",316.22000000000003
"2001-26",311.68000000000001
"2001-27",307.86000000000001
"2001-28",308.67000000000002
"2001-29",314.62
"2001-30",310.07999999999998
"2001-31",308.31
"2001-32",305.61000000000001
"2001-33",305.80000000000001
"2001-34",313.88999999999999
"2001-35",299.50999999999999
"2001-36",301.36000000000001
"2001-37",298.63
"2001-38",286.36000000000001
"2001-39",279.79000000000002
"2001-40",269
"2001-41",235.59999999999999
"2001-42",255.44999999999999
"2001-43",255.63
"2001-44",265.88
"2001-45",263.60000000000002
"2001-46",271.26999999999998
"2001-47",260.98000000000002
"2001-48",263.20999999999998
"2001-49",265.14999999999998
"2001-50",269.45999999999998
"2001-51",270.72000000000003
"2001-52",267.68000000000001
"2002-1",255.84
"2002-2",261.92000000000002
"2002-3",272.44999999999999
"2002-4",270.91000000000003
"2002-5",265.22000000000003
"2002-6",262.44
"2002-7",260.44
"2002-8",263.06
"2002-9",261.17000000000002
"2002-10",268.75
"2002-11",263.54000000000002
"2002-12",272.07999999999998
"2002-13",275.38999999999999
"2002-14",271.68000000000001
"2002-15",276.85000000000002
"2002-16",278.63999999999999
"2002-17",275.94
"2002-18",261.98000000000002
"2002-19",262.06999999999999
"2002-20",250.93000000000001
"2002-21",261.31999999999999
"2002-22",264.24000000000001
"2002-23",260.29000000000002
"2002-24",256.62
"2002-25",254.33000000000001
"2002-26",249.86000000000001
"2002-27",244.83000000000001
"2002-28",237.06999999999999
"2002-29",245.99000000000001
"2002-30",247.12
"2002-31",235.44999999999999
"2002-32",230.18000000000001
"2002-33",208.03
"2002-34",215.52000000000001
"2002-35",211.49000000000001
"2002-36",214.55000000000001
"2002-37",222.27000000000001
"2002-38",224.34
"2002-39",220.34999999999999
"2002-40",215.59999999999999
"2002-41",204.05000000000001
"2002-42",198.72999999999999
"2002-43",193.09
"2002-44",196.40000000000001
"2002-45",206.13999999999999
"2002-46",199.41999999999999
"2002-47",201.22999999999999
"2002-48",203.68000000000001
"2002-49",201.68000000000001
"2002-50",207.55000000000001
"2002-51",208.53
"2002-52",198.16999999999999
"2003-1",200.53
"2003-2",199.66
"2003-3",199.61000000000001
"2003-4",206.63
"2003-5",206.16999999999999
"2003-6",201.52000000000001
"2003-7",193.72999999999999
"2003-8",186.81999999999999
"2003-9",184.84999999999999
"2003-10",184.31
"2003-11",178.09
"2003-12",178.03
"2003-13",173.78
"2003-14",179.16
"2003-15",191.38
"2003-16",190.44
"2003-17",196.58000000000001
"2003-18",198.31999999999999
"2003-19",202.83000000000001
"2003-20",201.81
"2003-21",204.46000000000001
"2003-22",201.28
"2003-23",208.27000000000001
"2003-24",207.36000000000001
"2003-25",207.63
"2003-26",213.65000000000001
"2003-27",216.09
"2003-28",215.94999999999999
"2003-29",217.65000000000001
"2003-30",214.49000000000001
"2003-31",212.46000000000001
"2003-32",216.06999999999999
"2003-33",215.80000000000001
"2003-34",213.66
"2003-35",222.5
"2003-36",232.72
"2003-37",238.5
"2003-38",242.16
"2003-39",252.19999999999999
"2003-40",251.93000000000001
"2003-41",250.5
"2003-42",245.53
"2003-43",248.49000000000001
"2003-44",249.41999999999999
"2003-45",260.52999999999997
"2003-46",254.25
"2003-47",258.00999999999999
"2003-48",258.14999999999998
"2003-49",252.99000000000001
"2003-50",246.43000000000001
"2003-51",242.72
"2003-52",243.36000000000001
"2004-1",244.08000000000001
"2004-2",244.56999999999999
"2004-3",244.34999999999999
"2004-4",252.41
"2004-5",257.33999999999997
"2004-6",263.25999999999999
"2004-7",265.19
"2004-8",261.82999999999998
"2004-9",271.06
"2004-10",276.30000000000001
"2004-11",271.63999999999999
"2004-12",275.94
"2004-13",279.35000000000002
"2004-14",269.07999999999998
"2004-15",268.72000000000003
"2004-16",260.00999999999999
"2004-17",263.57999999999998
"2004-18",264.30000000000001
